id,ReferenceNo,BuyerCode,VendorCode,Remarks
363,SPF0000223,HLWONG,PWS1,XMAS CATALOGUE- 1/4 PAGE
364,SPF0000223,HLWONG,PWS1,04 NOV 2021 - 02 JAN 2022
365,SPF0000224,HLWONG,TBIG,XMAS CATALOGUE- 1/4 PAGE
366,SPF0000224,HLWONG,TBIG,04 NOV 2021- 02 JAN 2022
367,SPF0000225,HLWONG,YI,XMAS CATALOGUE- 1 SKU
368,SPF0000225,HLWONG,YI,04 NOV 2021- 02 JAN 2022
369,SPF0000226,HLWONG,PWS,XMAS CATALOGUE- PENFOLDS
370,SPF0000226,HLWONG,PWS,04 NOV 2021- 02 JAN 2022
371,SPF0000227,HLWONG,TWS01GS,XMAS CATALOGUE- TEQUILA ROSE
372,SPF0000227,HLWONG,TWS01GS,04 NOV 2021- 02 JAN 2022
373,SPF0000228,HLWONG,GHH,CNY 2022 CATALOGUE
374,SPF0000228,HLWONG,GHH,15 DEC 2021- 15 FEB 2022
375,SPF0000229,HLWONG,MHDS,CNY 2022 CATALOGUE
376,SPF0000229,HLWONG,MHDS,15 DEC 2021- 15 FEB 2022
377,SPF0000230,HLWONG,YI,CNY 2022 CATALOGUE
378,SPF0000230,HLWONG,YI,15 DEC 2021 - 15 FEB 2022
379,FRZ0000019,KHLAU1,UFC,Claim Cost Difference (CPO165012)
380,SPF0000233,HLWONG,APB,TIGER BEER 24S PROMOTION- OCT 2021
381,SPF0000233,HLWONG,APB,6500 CTNS
382,SPF0000234,JHLEE,DEP,PROMO SUPPORT
383,FRZ0000020,KHLAU1,ZMP1,Claim Cost Difference (CPO162674)
384,SPF0000235,ZJLOH,NS,Milo 200ml $1.47x882ctn
